COORDINATES: Geodetic
DATUM: REU
# ELLIPSOID: IN
ELLIPSOID HEIGHT
END OF HEADER

# Mauritius
-19.98750, 57.54784, 32 # CE90: 73, LE90: 46, SE90: 80
-19.98750, 57.55367, 32 # CE90: 73, LE90: 46, SE90: 80
-19.98750, 57.57506, 33 # CE90: 73, LE90: 46, SE90: 80
-19.98750, 57.65867, 33 # CE90: 73, LE90: 46, SE90: 80
-20.28082, 57.78699, 28 # CE90: 73, LE90: 46, SE90: 80
-20.51611, 57.52148, 20 # CE90: 73, LE90: 46, SE90: 80
-20.45417, 57.30122, 19 # CE90: 73, LE90: 46, SE90: 80
-19.98750, 57.54784, 32 # CE90: 73, LE90: 46, SE90: 80
#
